IMPORT_OK
import time: self [us] | cumulative | imported package
import time:      5025 |      34234 |             pydantic.main
import time:      2029 |      36263 |           pydantic.type_adapter
import time:      3957 |       3957 |             annotated_types
import time:      1847 |       1847 |             pydantic._internal._validators
import time:      7583 |       7583 |             pydantic.types
import time:       413 |        413 |             pydantic.plugin._loader
import time:     39995 |      53793 |           mcp.types
import time:       162 |        162 |             mcp.shared
import time:       592 |        592 |                 httpx.__version__
import time:       413 |        413 |                         _hashlib
import time:        25 |         25 |                         _blake2
import time:       355 |        792 |                       hashlib
import time:       493 |        493 |                           http
import time:       427 |        427 |                             email.feedparser
import time:       359 |        786 |                           email.parser
import time:       675 |       1952 |                         http.client
import time:       233 |        233 |                           urllib.response
import time:       306 |        539 |                         urllib.error
import time:        23 |         23 |                         _scproxy
import time:       965 |       3477 |                       urllib.request
import time:      1056 |       1056 |                       httpx._exceptions
import time:        28 |         28 |                               _json
import time:       427 |        454 |                             json.scanner
import time:       458 |        912 |                           json.decoder
import time:       238 |        238 |                           json.encoder
import time:       417 |       1566 |                         json
import time:      1201 |       1201 |                         http.cookiejar
import time:        48 |         48 |                               _winapi
import time:        42 |         42 |                               winreg
import time:       382 |        471 |                             mimetypes
import time:      1009 |       1009 |                             httpx._types
import time:       963 |        963 |                             httpx._utils
import time:      1398 |       3839 |                           httpx._multipart
import time:      1063 |       4902 |                         httpx._content
import time:        46 |         46 |                           brotli
import time:        38 |         38 |                           brotlicffi
import time:        32 |         32 |                           zstandard
import time:      1049 |       1163 |                         httpx._decoders
import time:       822 |        822 |                         httpx._status_codes
import time:        32 |         32 |                               unicodedata
import time:      1828 |       1828 |                               idna.idnadata
import time:       491 |        491 |                               idna.intranges
import time:      2297 |       4647 |                             idna.core
import time:       239 |        239 |                             idna.package_data
import time:       448 |       5333 |                           idna
import time:      2147 |       2147 |                           httpx._urlparse
import time:      1704 |       9182 |                         httpx._urls
import time:      4156 |      22988 |                       httpx._models
import time:      1338 |      29650 |                     httpx._auth
import time:       995 |        995 |                     httpx._config
import time:       401 |        401 |                           httpx._transports.base
import time:      1416 |       1817 |                         httpx._transports.asgi
import time:      1291 |       1291 |                         httpx._transports.default
import time:       379 |        379 |                         httpx._transports.mock
import time:       792 |        792 |                         httpx._transports.wsgi
import time:       231 |       4508 |                       httpx._transports
import time:        13 |       4520 |                     httpx._transports.base
import time:      4237 |      39402 |                   httpx._client
import time:       841 |      40242 |                 httpx._api
import time:       651 |        651 |                       gettext
import time:      1864 |       1864 |                         click._compat
import time:       483 |        483 |                           click.globals
import time:      1371 |       1371 |                           click.utils
import time:      1204 |       3058 |                         click.exceptions
import time:      3822 |       8744 |                       click.types
import time:       259 |        259 |                       click._utils
import time:      1584 |       1584 |                         click.parser
import time:      1160 |       2744 |                       click.formatting
import time:      1959 |       1959 |                       click.termui
import time:      9067 |      23420 |                     click.core
import time:      1484 |       1484 |                     click.decorators
import time:       703 |      25606 |                   click
import time:        66 |         66 |                     pygments
import time:        10 |         76 |                   pygments.lexers
import time:      1630 |      27312 |                 httpx._main
import time:       590 |      68734 |               httpx
import time:       285 |        285 |               mcp.shared.exceptions
import time:       629 |        629 |               mcp.shared.message
import time:      1639 |      71285 |             mcp.shared.session
import time:       758 |      72204 |           mcp.shared.context
import time:       286 |        286 |           mcp.shared.version
import time:      7338 |     320966 |         mcp.client.session
import time:      1029 |       1029 |           anyio.streams.text
import time:       312 |        312 |           mcp.client.stdio.win32
import time:      1653 |       2992 |         mcp.client.stdio
import time:       447 |        447 |                   pydantic_settings.exceptions
import time:        19 |         19 |                           _heapq
import time:       245 |        263 |                         heapq
import time:       231 |        231 |                         asyncio.constants
import time:       187 |        187 |                         asyncio.coroutines
import time:        82 |         82 |                           asyncio.format_helpers
import time:        92 |         92 |                             asyncio.base_futures
import time:       121 |        121 |                             asyncio.exceptions
import time:       230 |        230 |                             asyncio.base_tasks
import time:       143 |        584 |                           _asyncio
import time:       363 |       1027 |                         asyncio.events
import time:       263 |        263 |                         asyncio.futures
import time:       230 |        230 |                         asyncio.protocols
import time:       298 |        298 |                           asyncio.transports
import time:        77 |         77 |                           asyncio.log
import time:       472 |        847 |                         asyncio.sslproto
import time:       148 |        148 |                             asyncio.mixins
import time:       382 |        529 |                           asyncio.locks
import time:       265 |        265 |                             asyncio.timeouts
import time:       314 |        579 |                           asyncio.tasks
import time:       214 |       1322 |                         asyncio.staggered
import time:       206 |        206 |                         asyncio.trsock
import time:       633 |       5204 |                       asyncio.base_events
import time:       269 |        269 |                       asyncio.runners
import time:       255 |        255 |                       asyncio.queues
import time:       388 |        388 |                       asyncio.streams
import time:       158 |        158 |                       asyncio.subprocess
import time:       101 |        101 |                       asyncio.taskgroups
import time:        74 |         74 |                       asyncio.threads
import time:       236 |        236 |                         asyncio.base_subprocess
import time:       870 |        870 |                         asyncio.selector_events
import time:       515 |       1620 |                       asyncio.unix_events
import time:       309 |       8373 |                     asyncio
import time:       723 |        723 |                     argparse
import time:       913 |        913 |                       pydantic._internal._dataclasses
import time:      1380 |       2292 |                     pydantic.dataclasses
import time:       335 |        335 |                         pydantic_settings.utils
import time:       565 |        565 |                         pydantic_settings.sources.types
import time:      1254 |       1254 |                         pydantic_settings.sources.utils
import time:      2059 |       4211 |                       pydantic_settings.sources.base
import time:      1180 |       1180 |                             pydantic_settings.sources.providers.env
import time:       475 |       1655 |                           pydantic_settings.sources.providers.aws
import time:       356 |        356 |                             pydantic.alias_generators
